,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
1445,4,10,5,1975,1.0,28126,48.0,29.6,831577.0,573206.0,258395.0,17.72,0.54
1446,4,10,5,1964,1.0,35000,49.0,11.4,400054.0,400070.0,0.0,2.79,0.03
1448,4,17,5,1967,2.0,24000,77.0,43.0,1031081.0,1031124.0,0.0,7.19,0.11
1449,4,4,4,1968,5.0,40809,34.0,68.2,2785058.0,1487573.0,1297547.0,79.28,1.79
1451,4,4,4,1905,1.0,83882,72.0,30.3,2539565.0,1515673.0,1023954.0,64.95,0.7
1452,2,6,7,1948,4.0,40326,49.0,64.1,2583451.0,553873.0,2029601.0,111.65,2.71
1453,3,8,4,1995,5.0,26088,83.0,31.7,827618.0,517682.0,309957.0,20.07,0.68
1454,3,8,3,1900,5.0,48092,86.0,28.5,1037696.0,1037739.0,0.0,7.23,0.06
1455,3,8,3,1914,6.0,34023,89.0,25.7,873648.0,697068.0,176609.0,14.24,0.33
1456,2,6,0,1980,4.0,45421,52.0,29.9,1245181.0,1121228.0,124000.0,14.4,0.21
1458,2,6,7,1973,4.0,60601,93.0,19.9,963463.0,963503.0,0.0,6.72,0.04
1460,2,6,7,1970,4.0,29222,54.0,29.3,820852.0,820886.0,0.0,5.72,0.07
1462,2,6,6,1989,4.0,61227,94.0,25.2,1126457.0,1126504.0,0.0,7.85,0.05
1463,3,8,7,1997,5.0,30236,64.0,31.6,955641.0,955681.0,0.0,6.66,0.08
1465,2,6,4,1985,3.0,45235,65.0,21.2,959183.0,959223.0,0.0,6.69,0.06
1466,3,8,4,2002,6.0,65604,74.0,25.8,1692323.0,1692394.0,0.0,11.8,0.07
1467,1,1,3,2010,31.0,480789,84.0,33.4,19827916.0,12397160.0,7431271.0,481.1,0.89
1468,2,6,10,2000,4.0,35837,62.0,31.1,1070493.0,1070537.0,0.0,7.46,0.08
1469,2,6,10,1968,3.0,41567,90.0,22.1,902694.0,902732.0,0.0,6.29,0.06
1470,4,16,10,1954,2.0,51298,81.0,122.8,6297193.0,2064987.0,4232292.0,239.17,4.49
1471,1,1,10,1990,10.0,284970,87.0,45.3,11614819.0,3332306.0,8282652.0,463.12,1.57
1472,4,19,10,1962,1.0,22047,100.0,10.5,239873.0,239883.0,0.0,1.67,0.03
1473,2,6,10,1967,3.0,116143,83.0,25.1,2849048.0,2849166.0,0.0,19.86,0.07
1474,2,6,10,1976,3.0,44656,83.0,23.8,1060846.0,1060890.0,0.0,7.4,0.06
1475,2,6,10,1968,3.0,26159,77.0,25.9,671459.0,671487.0,0.0,4.68,0.07
1476,4,10,5,1979,1.0,31600,2.0,98.5,3113412.0,1665037.0,1448444.0,88.53,2.58
1477,4,10,5,2007,1.0,35289,52.0,23.3,821046.0,610664.0,210407.0,15.43,0.36
1478,4,10,5,1981,1.0,28920,47.0,59.1,1773880.0,258528.0,1515363.0,82.28,2.81
1479,4,10,5,1978,1.0,22176,78.0,22.5,499887.0,101843.0,398048.0,21.85,0.97
1480,4,10,5,1978,1.0,31300,91.0,9.7,304248.0,204772.0,99485.0,6.71,0.19
1481,4,10,5,1979,1.0,22000,11.0,33.2,731092.0,731123.0,0.0,5.1,0.09
1482,4,17,8,1974,3.0,39927,43.0,85.8,3393302.0,3393443.0,0.0,23.66,0.23
1484,4,7,8,1980,2.0,26930,62.0,39.4,1062109.0,1062153.0,0.0,7.4,0.11
1485,4,7,8,1968,2.0,38745,57.0,64.7,2808160.0,2234953.0,573300.0,46.03,0.94
1488,4,7,9,1967,3.0,38378,85.0,47.4,1662723.0,827027.0,835731.0,50.15,1.21
1489,4,10,9,1980,2.0,33576,22.0,61.6,2069880.0,806726.0,1263187.0,72.71,2.06
1491,2,6,10,2007,4.0,67910,78.0,27.6,1876238.0,1599473.0,276831.0,25.85,0.28
1493,1,1,3,2000,12.0,264239,32.0,55.6,11360334.0,6855750.0,4504868.0,287.05,0.97
1497,3,8,7,2000,5.0,45715,18.0,38.0,1247361.0,1247413.0,0.0,8.7,0.07
1499,2,6,5,2005,4.0,32038,49.0,36.6,1171380.0,986182.0,185239.0,16.71,0.39
1501,1,1,4,1957,16.0,151680,38.0,68.6,10410955.0,2567232.0,7843830.0,434.48,2.79
1502,4,19,0,1910,2.0,21765,73.0,22.5,490743.0,135969.0,354779.0,19.79,0.88
1504,2,6,0,1985,4.0,27553,64.0,27.9,767720.0,767752.0,0.0,5.35,0.07
1505,3,8,7,2014,6.0,305537,98.0,35.2,8459804.0,4606343.0,3853651.0,236.78,0.71
1506,3,8,7,2005,6.0,373664,93.0,42.6,7697400.0,2088984.0,5608503.0,312.43,0.81
1507,2,6,1,2000,4.0,149771,27.0,40.3,6040837.0,5858013.0,183069.0,50.56,0.17
1509,2,6,1,1909,3.0,24316,54.0,56.5,1148834.0,669987.0,478875.0,30.1,1.12
1510,4,19,1,1901,2.0,26560,1.0,73.1,1941086.0,567846.0,1373263.0,76.89,2.8
1511,4,10,6,1957,2.0,20140,24.0,8.2,165472.0,165479.0,0.0,1.15,0.02
1512,2,6,4,1930,3.0,38500,94.0,47.2,1494169.0,320508.0,1173675.0,64.57,1.64
1513,1,1,4,1930,14.0,90000,91.0,45.3,4078339.0,948501.0,3129877.0,172.84,1.88
1514,2,6,7,1996,4.0,46184,28.0,55.2,1966424.0,1966506.0,0.0,13.71,0.11
1515,3,8,7,1967,5.0,20598,74.0,29.9,616749.0,616775.0,0.0,4.3,0.08
1517,2,6,5,2004,4.0,80155,89.0,25.4,1973429.0,1223748.0,749732.0,48.35,0.54
1518,2,6,4,1929,4.0,58608,52.0,74.0,3888945.0,697390.0,3191584.0,174.37,2.92
1519,3,8,4,1994,6.0,32989,92.0,24.5,1192100.0,839949.0,352186.0,24.56,0.63
1520,2,6,11,1967,3.0,25174,32.0,32.5,819187.0,819221.0,0.0,5.71,0.09
1521,2,6,11,1983,4.0,52228,48.0,30.9,1615569.0,1615636.0,0.0,11.26,0.08
1523,4,14,5,1992,2.0,38845,84.0,166.2,6454983.0,3228447.0,3226669.0,193.87,4.63
1525,6,4,8,1955,1.0,38582,88.0,42.8,1729493.0,673321.0,1056200.0,60.79,1.5
1526,2,6,5,2006,4.0,51405,65.0,36.3,1836671.0,1018775.0,817938.0,50.54,0.9
1529,4,14,5,1958,2.0,56193,38.0,44.0,2474457.0,1858392.0,616143.0,45.68,0.67
1530,3,8,3,2002,6.0,66459,40.0,51.7,2999208.0,2440290.0,559020.0,46.7,0.54
1532,2,6,0,1986,4.0,44957,72.0,30.8,924068.0,924106.0,0.0,6.44,0.05
1533,2,6,0,1991,4.0,42401,72.0,29.6,968551.0,968591.0,0.0,6.75,0.06
1534,4,4,0,1922,3.0,35448,93.0,46.8,1657201.0,271660.0,1385552.0,75.48,2.1
1536,2,6,0,1980,3.0,31792,70.0,32.4,685764.0,685793.0,0.0,4.78,0.06
1537,2,6,0,1996,4.0,30854,22.0,30.1,929628.0,929667.0,0.0,6.48,0.08
1541,4,10,0,1975,3.0,41478,2.0,78.0,3234871.0,1804822.0,1430124.0,88.54,1.95
1542,4,10,0,1980,1.0,39840,2.0,20.8,827937.0,827972.0,0.0,5.77,0.06
1543,2,6,0,1928,4.0,24828,39.0,82.8,2055534.0,236094.0,1819450.0,98.28,3.92
1544,2,6,0,1987,4.0,43380,65.0,27.6,769148.0,769180.0,0.0,5.36,0.05
1545,2,6,0,1984,4.0,36248,62.0,28.2,1021903.0,1021945.0,0.0,7.12,0.08
1546,2,6,0,1985,4.0,26347,36.0,33.2,875789.0,875825.0,0.0,6.11,0.09
1547,3,8,0,1989,5.0,53041,89.0,40.3,2136086.0,983923.0,1152204.0,68.05,1.2
1548,3,8,0,2009,8.0,447755,82.0,52.3,17087008.0,13665921.0,3421655.0,276.99,0.49
1549,3,8,0,1969,7.0,52926,41.0,55.3,2926166.0,2424397.0,501870.0,43.56,0.63
1551,3,8,0,1999,6.0,46070,93.0,25.2,852840.0,852875.0,0.0,5.95,0.05
1555,3,8,0,2008,8.0,243928,89.0,39.6,9308471.0,6584649.0,2724096.0,190.58,0.67
1556,3,8,7,2003,5.0,28879,98.0,21.6,519573.0,519594.0,0.0,3.62,0.05
1557,2,6,7,1997,4.0,20406,94.0,27.9,569115.0,337697.0,231432.0,14.65,0.65
1558,3,8,3,1910,6.0,34909,90.0,20.8,727036.0,727067.0,0.0,5.07,0.06
1559,3,8,3,1909,6.0,201656,74.0,24.2,4058492.0,4058661.0,0.0,28.29,0.05
1561,2,6,11,1959,3.0,45201,60.0,32.2,1454465.0,1454525.0,0.0,10.14,0.09
1562,2,6,11,1962,3.0,43330,42.0,31.9,1383950.0,1384007.0,0.0,9.65,0.09
1563,2,6,1,1996,3.0,32112,100.0,19.0,507217.0,398070.0,109164.0,8.57,0.21
1564,3,8,12,2005,5.0,29888,52.0,36.1,1078936.0,801475.0,277495.0,20.32,0.56
1565,2,6,8,1988,4.0,47647,45.0,31.4,1497021.0,1497083.0,0.0,10.44,0.08
1566,1,1,4,1992,10.0,31152,26.0,48.1,1247972.0,1139756.0,108264.0,13.7,0.28
1567,2,6,7,1984,3.0,23210,79.0,25.6,557193.0,557217.0,0.0,3.88,0.06
1568,2,6,6,1979,4.0,27533,66.0,30.8,848497.0,640103.0,208421.0,15.53,0.46
1569,2,6,11,1969,3.0,30216,65.0,30.3,914670.0,914708.0,0.0,6.38,0.08
1570,3,8,3,1999,8.0,35364,100.0,22.0,620789.0,259097.0,361703.0,21.02,0.56
1571,2,6,0,1960,4.0,41076,90.0,21.7,892227.0,892264.0,0.0,6.22,0.06
1572,2,6,0,1960,4.0,24948,99.0,23.0,573395.0,573418.0,0.0,4.0,0.06
1574,4,19,0,1975,1.0,84595,44.0,35.1,1417778.0,742085.0,675724.0,41.06,0.45
1575,4,14,0,1996,1.0,23500,48.0,49.1,1152890.0,1089355.0,63580.0,10.97,0.27
1576,4,17,0,1979,2.0,37448,88.0,68.0,2547582.0,1937707.0,609955.0,45.9,1.0
1577,4,17,0,1903,3.0,24913,100.0,9.6,238255.0,196542.0,41721.0,3.59,0.11
1578,4,14,0,1967,1.0,22420,79.0,64.3,1482752.0,979823.0,502969.0,33.54,1.31
1579,2,6,7,1968,4.0,23728,92.0,21.8,518314.0,518335.0,0.0,3.61,0.06
1580,2,6,7,2007,4.0,42763,68.0,33.1,955223.0,826168.0,129089.0,12.62,0.21
1583,4,17,7,1982,3.0,25859,82.0,37.0,957632.0,764295.0,193369.0,15.6,0.48
1584,4,10,7,1974,1.0,25600,1.0,63.7,1631031.0,1123078.0,507999.0,34.81,1.17
1586,4,17,7,2008,4.0,41784,86.0,41.3,1380283.0,1380340.0,0.0,9.62,0.09
1587,4,10,7,1960,1.0,56884,74.0,22.2,1261725.0,695445.0,566309.0,34.92,0.56
1589,2,6,0,1988,3.0,23835,95.0,22.8,542882.0,542904.0,0.0,3.78,0.06
1590,4,14,0,1989,1.0,32810,66.0,60.5,1983755.0,1306809.0,677000.0,45.07,1.2
1591,2,6,1,1999,3.0,42260,70.0,26.4,811537.0,811570.0,0.0,5.66,0.05
1592,2,6,1,1910,3.0,22704,78.0,58.5,1327591.0,186991.0,1140607.0,61.88,2.69
1595,2,6,7,1963,4.0,28674,89.0,24.2,695059.0,609084.0,86000.0,8.81,0.22
1596,2,6,7,1962,3.0,21240,82.0,22.8,484875.0,484895.0,0.0,3.38,0.06
1597,2,6,7,1990,4.0,115575,73.0,36.1,4172258.0,2687296.0,1485074.0,97.61,0.74
1598,4,17,7,1961,2.0,20022,80.0,31.9,662785.0,662812.0,0.0,4.62,0.09
1599,4,0,7,1960,2.0,36498,85.0,14.3,507947.0,319013.0,188947.0,12.26,0.3
1601,4,17,7,2007,4.0,30152,97.0,30.4,766628.0,765668.0,992.0,5.39,0.07
1602,4,17,7,1979,4.0,22365,95.0,20.1,433443.0,433461.0,0.0,3.02,0.05
1603,4,17,7,1994,4.0,30172,78.0,32.0,965091.0,965131.0,0.0,6.73,0.09
1604,3,8,0,2008,6.0,75638,83.0,29.2,1467423.0,1467484.0,0.0,10.23,0.05
1606,3,8,0,1990,5.0,30199,72.0,35.1,720312.0,720342.0,0.0,5.02,0.06
1607,4,10,0,1927,4.0,42500,100.0,4.8,226375.0,226384.0,0.0,1.58,0.01
1609,3,8,0,2008,6.0,197368,33.0,51.8,7976729.0,5527567.0,2449391.0,168.62,0.73
1612,4,17,0,1968,2.0,23500,28.0,69.9,1641546.0,1170650.0,470945.0,33.17,1.2
1613,4,17,0,1966,1.0,22282,92.0,23.8,529806.0,333542.0,196278.0,12.75,0.51
1615,2,6,0,1964,4.0,36000,80.0,25.0,811021.0,811055.0,0.0,5.65,0.06
1617,2,6,9,1979,4.0,75154,85.0,23.2,1742870.0,1584450.0,158486.0,19.46,0.17
1618,2,6,10,1987,3.0,24156,96.0,22.8,466985.0,467005.0,0.0,3.26,0.05
1619,2,6,8,1975,3.0,79963,11.0,29.6,2164237.0,2164327.0,0.0,15.09,0.07
1620,2,6,10,1979,3.0,20448,78.0,23.8,487229.0,487249.0,0.0,3.4,0.06
1621,2,6,10,1994,3.0,46439,71.0,30.7,1426823.0,967640.0,459223.0,31.13,0.58
1622,2,6,10,1988,4.0,57693,91.0,20.8,1200628.0,1200678.0,0.0,8.37,0.06
1623,2,6,10,1995,3.0,26040,42.0,33.3,868163.0,868199.0,0.0,6.05,0.09
1625,4,17,8,1931,2.0,37500,60.0,56.2,2105835.0,1626973.0,478929.0,36.78,0.79
1626,2,6,8,1990,3.0,28392,65.0,39.6,1125724.0,1125771.0,0.0,7.85,0.11
1627,2,6,8,1983,3.0,39187,68.0,27.9,1012559.0,1012601.0,0.0,7.06,0.07
1628,4,4,10,1930,3.0,23983,59.0,49.1,1176615.0,616817.0,559823.0,34.03,1.31
1629,4,0,2,1980,1.0,24100,30.0,27.2,642052.0,254182.0,387880.0,22.37,0.88
1630,4,19,12,1971,1.0,23772,89.0,11.9,282898.0,282910.0,0.0,1.97,0.03
1631,2,6,12,1979,3.0,24371,52.0,30.1,732352.0,732382.0,0.0,5.11,0.08
1632,4,4,9,2004,2.0,31343,4.0,78.3,4034028.0,1644516.0,2389580.0,138.37,4.19
1633,2,6,12,1980,4.0,34142,84.0,21.5,733152.0,733183.0,0.0,5.11,0.06
1634,3,8,7,1995,5.0,32927,63.0,33.6,1107870.0,672561.0,435337.0,27.81,0.76
1638,4,9,10,1996,3.0,55912,58.0,87.2,2882757.0,2882877.0,0.0,20.1,0.14
1640,4,17,7,1983,4.0,40571,52.0,61.7,1481017.0,1481078.0,0.0,10.32,0.1
1643,4,10,7,1955,2.0,39497,8.0,45.4,1795049.0,1365506.0,429600.0,32.34,0.67
1644,2,6,7,2001,3.0,69881,88.0,21.9,1527348.0,1230731.0,296668.0,24.34,0.27
1646,2,6,7,1963,3.0,21094,70.0,29.6,624993.0,625019.0,0.0,4.36,0.08
1647,3,8,7,1988,7.0,28799,93.0,29.9,678351.0,678379.0,0.0,4.73,0.06
1648,2,6,10,1992,4.0,34813,87.0,29.8,830945.0,830979.0,0.0,5.79,0.06
1649,2,6,4,1961,4.0,23727,75.0,29.7,704799.0,704828.0,0.0,4.91,0.08
1650,2,6,4,1959,4.0,22992,56.0,29.1,669940.0,669968.0,0.0,4.67,0.08
1651,2,6,4,1958,3.0,27852,86.0,28.4,791564.0,791597.0,0.0,5.52,0.08
1652,2,6,4,1906,3.0,24560,22.0,39.5,798970.0,459436.0,339553.0,21.24,0.78
1654,2,6,6,1908,3.0,29970,100.0,22.5,672989.0,29528.0,643462.0,34.38,1.14
1655,2,6,8,1951,2.0,143498,100.0,46.7,6695413.0,393011.0,6302418.0,337.46,2.34
1656,4,17,10,1982,2.0,27574,76.0,42.1,1160989.0,1161037.0,0.0,8.09,0.11
1657,2,6,10,1968,4.0,227233,91.0,21.7,5118939.0,5119151.0,0.0,35.69,0.06
1658,2,6,10,1986,4.0,123841,69.0,31.7,2584082.0,2422342.0,161840.0,25.48,0.12
1659,2,6,8,1977,3.0,24288,75.0,24.7,600318.0,600342.0,0.0,4.19,0.07
1660,4,14,8,1965,1.0,24982,89.0,28.1,702385.0,702414.0,0.0,4.9,0.08
1661,2,6,8,1987,3.0,112424,93.0,27.9,2303386.0,2303481.0,0.0,16.06,0.05
1662,4,16,8,1998,5.0,43661,4.0,89.8,3922066.0,2708351.0,1213827.0,83.35,1.64
1664,2,6,8,1986,4.0,56996,61.0,31.9,1328869.0,1328924.0,0.0,9.26,0.06
1665,2,6,8,1963,3.0,79014,87.0,24.0,1958352.0,1958433.0,0.0,13.65,0.07
1667,4,17,10,1987,3.0,76105,87.0,35.6,2709429.0,2709542.0,0.0,18.89,0.1
1668,2,6,8,1989,3.0,21422,61.0,28.5,609494.0,609520.0,0.0,4.25,0.08
1669,2,6,6,1928,3.0,20384,99.0,33.8,688687.0,199469.0,489226.0,27.37,1.3
1671,2,6,8,1976,3.0,24288,67.0,26.3,639878.0,639905.0,0.0,4.46,0.07
1673,2,6,8,1979,3.0,24552,59.0,26.5,650452.0,650479.0,0.0,4.53,0.07
1674,3,8,8,1970,7.0,88340,40.0,38.6,3408266.0,2611654.0,796721.0,60.52,0.56
1675,4,14,8,1966,1.0,41615,63.0,49.6,2063212.0,2063298.0,0.0,14.38,0.13
1676,4,7,8,1988,3.0,28841,61.0,46.3,1334876.0,930013.0,404901.0,27.99,0.83
1679,3,16,8,1972,8.0,124904,12.0,53.6,6692185.0,4891435.0,1800953.0,129.75,0.87
1680,2,6,8,1989,4.0,44645,42.0,34.3,1287422.0,1287475.0,0.0,8.98,0.08
1682,2,6,12,1988,4.0,24711,83.0,22.0,544043.0,544066.0,0.0,3.79,0.06
1683,4,4,2,1924,2.0,42975,86.0,51.1,1093653.0,197155.0,896506.0,48.99,1.12
1684,2,6,10,1974,3.0,21552,70.0,23.6,508051.0,508073.0,0.0,3.54,0.06
1686,2,6,2,1988,3.0,298714,69.0,31.0,4529304.0,4356810.0,172675.0,39.54,0.07
1687,4,17,2,1988,2.0,30659,9.0,106.7,3580035.0,2463460.0,1116677.0,76.48,2.15
1693,2,6,10,1968,3.0,24163,85.0,23.3,561307.0,561331.0,0.0,3.91,0.06
1695,2,6,1,1972,3.0,20368,34.0,28.4,579269.0,579293.0,0.0,4.04,0.08
1696,2,6,1,1927,3.0,22059,64.0,75.4,1663324.0,303584.0,1359752.0,74.33,3.31
1698,1,1,7,1963,11.0,65538,40.0,36.3,2376794.0,2277143.0,99745.0,21.17,0.17
1699,1,1,3,1980,18.0,125258,94.0,35.3,4296165.0,2847142.0,1449141.0,96.81,0.68
1701,2,6,6,1988,4.0,24847,68.0,26.8,665216.0,665243.0,0.0,4.64,0.07
1703,3,8,12,1973,5.0,63414,15.0,34.1,2161828.0,1580348.0,581545.0,41.9,0.55
1704,3,8,12,2000,6.0,68400,96.0,22.9,1563046.0,1184318.0,378777.0,28.37,0.34
1706,2,6,1,1986,3.0,33331,70.0,28.9,803896.0,803930.0,0.0,5.6,0.06
1707,2,6,12,1968,3.0,68815,83.0,23.8,1637199.0,1637267.0,0.0,11.41,0.06
1710,4,0,2,1979,1.0,42900,60.0,9.1,390726.0,390742.0,0.0,2.72,0.02
1713,3,8,2,2010,6.0,435501,95.0,35.4,13093350.0,8514539.0,4579163.0,302.56,0.61
1716,2,6,10,1990,4.0,43035,80.0,28.5,814656.0,814689.0,0.0,5.68,0.05
1717,4,10,3,1956,2.0,25840,92.0,12.1,311939.0,311952.0,0.0,2.17,0.03
1718,4,17,3,1988,1.0,45145,100.0,25.6,1119906.0,494764.0,625162.0,36.65,0.76
1719,3,8,3,1988,6.0,68669,88.0,23.3,1602030.0,1602096.0,0.0,11.17,0.06
1720,4,7,3,1995,4.0,43813,76.0,39.8,1798899.0,1798974.0,0.0,12.54,0.11
1721,4,17,3,2001,5.0,70332,87.0,46.7,2074152.0,1942577.0,131656.0,20.53,0.17
1723,3,8,4,1965,5.0,44616,58.0,37.3,1662898.0,1662967.0,0.0,11.59,0.1
1724,2,6,8,1978,3.0,135955,73.0,24.8,3542210.0,3321342.0,221006.0,34.89,0.15
1725,2,6,6,2005,4.0,66013,39.0,35.5,1725061.0,1725133.0,0.0,12.03,0.07
1726,3,8,7,1960,5.0,21822,61.0,31.8,694241.0,694269.0,0.0,4.84,0.08
1727,3,8,7,1969,5.0,30569,78.0,25.3,783413.0,681098.0,102343.0,10.18,0.24
1728,2,6,7,1978,4.0,34590,98.0,17.4,600528.0,600553.0,0.0,4.19,0.05
1729,2,6,10,2000,3.0,37964,16.0,31.4,1192704.0,1192753.0,0.0,8.31,0.08
1730,2,6,4,1907,3.0,22402,59.0,29.6,662280.0,622902.0,39404.0,6.44,0.17
1732,3,8,4,1911,5.0,30985,88.0,35.1,1117984.0,1118031.0,0.0,7.79,0.1
1733,2,6,4,1991,4.0,109874,63.0,46.6,3316342.0,2283556.0,1032881.0,70.78,0.55
1734,2,6,8,1999,4.0,37692,85.0,23.2,621751.0,621777.0,0.0,4.33,0.04
1735,2,6,8,1966,4.0,31744,71.0,23.3,738372.0,738402.0,0.0,5.15,0.06
1736,2,6,1,1907,3.0,35000,48.0,23.9,837792.0,837826.0,0.0,5.84,0.06
1737,6,4,5,1971,1.0,50546,97.0,18.9,971308.0,970348.0,1000.0,6.82,0.05
1738,2,6,7,1930,4.0,36837,93.0,33.4,1230757.0,536849.0,693931.0,40.6,1.04
1739,2,6,7,1930,4.0,39520,81.0,55.1,2179078.0,431668.0,1747428.0,95.82,2.38
1740,2,6,7,1929,4.0,41420,77.0,26.0,1076084.0,600531.0,475578.0,29.44,0.65
1741,2,6,7,1930,3.0,20798,57.0,68.0,1415254.0,303812.0,1111455.0,61.15,2.88
1742,2,6,7,1930,4.0,32693,69.0,68.8,1860293.0,257854.0,1602450.0,86.9,2.62
1743,2,6,12,1958,3.0,29811,85.0,26.3,619804.0,619830.0,0.0,4.32,0.06
1748,2,6,12,1990,4.0,27328,17.0,42.9,1172065.0,1172114.0,0.0,8.17,0.11
1749,3,8,12,2014,7.0,72356,95.0,36.9,2322314.0,1604317.0,718063.0,49.32,0.59
1750,2,6,12,1969,3.0,24180,92.0,21.0,507451.0,507472.0,0.0,3.54,0.06
1753,4,17,5,1997,2.0,40657,54.0,71.8,2920918.0,2834498.0,86537.0,24.36,0.3
1755,1,1,4,1967,17.0,212938,41.0,50.7,10791309.0,4917476.0,5874036.0,346.25,1.53
1756,2,6,4,1930,3.0,32688,60.0,62.6,1837610.0,341361.0,1496263.0,81.85,2.46
1757,2,6,4,1948,3.0,50145,83.0,51.7,2399762.0,619277.0,1780511.0,98.88,1.92
1759,2,6,4,1920,4.0,24900,61.0,81.1,2018186.0,293857.0,1724341.0,93.63,3.71
1761,3,8,4,2009,6.0,32489,20.0,98.1,1996728.0,1272428.0,724352.0,47.34,1.29
1762,1,1,4,2006,17.0,332781,5.0,64.7,11208498.0,8810969.0,2397894.0,188.77,0.45
1764,2,6,4,1906,4.0,33872,100.0,15.2,395517.0,333834.0,61697.0,5.6,0.12
1766,4,17,4,1970,7.0,54372,90.0,28.8,1563640.0,1563705.0,0.0,10.9,0.08
1767,2,6,4,1956,3.0,24039,25.0,36.0,866343.0,866379.0,0.0,6.04,0.1
1770,2,6,4,1925,4.0,25316,16.0,53.1,1345483.0,467572.0,877930.0,49.89,1.89
1771,2,6,4,1957,3.0,51098,45.0,31.5,1609461.0,1609528.0,0.0,11.22,0.08
1772,3,8,4,1999,6.0,57042,96.0,25.1,1078050.0,1078095.0,0.0,7.52,0.05
1777,1,1,4,1982,17.0,76855,23.0,36.6,2810484.0,2810600.0,0.0,19.59,0.1
1779,2,6,8,1982,4.0,93087,70.0,32.4,1914485.0,1772367.0,142192.0,19.91,0.13
1780,2,6,8,1965,3.0,86835,56.0,42.9,2630280.0,1785413.0,844941.0,57.32,0.57
1781,2,6,8,1990,4.0,128649,37.0,34.2,3902177.0,3902340.0,0.0,27.2,0.08
1782,4,17,8,1985,3.0,33580,88.0,33.8,695803.0,695832.0,0.0,4.85,0.06
1783,3,16,8,2010,7.0,165914,100.0,34.8,4338616.0,2849985.0,1488749.0,98.94,0.52
1785,3,8,8,2000,6.0,103554,92.0,24.4,1961982.0,1962064.0,0.0,13.68,0.05
1786,4,10,8,1977,1.0,21936,99.0,6.6,145573.0,68982.0,76593.0,4.55,0.19
1791,2,6,12,1960,3.0,22195,78.0,24.9,553230.0,553253.0,0.0,3.86,0.07
1792,3,8,12,1976,5.0,72155,63.0,27.3,1972396.0,1435090.0,537365.0,38.54,0.45
1794,2,6,12,1989,3.0,30080,87.0,20.4,612173.0,612198.0,0.0,4.27,0.05
1796,2,6,5,1963,4.0,20467,94.0,17.0,348061.0,348075.0,0.0,2.43,0.05
1799,4,17,2,1988,2.0,66484,69.0,40.0,3053785.0,3053912.0,0.0,21.29,0.12
1801,4,3,4,1928,6.0,35770,59.0,72.7,2601945.0,568782.0,2033187.0,111.95,3.06
1802,3,8,4,1925,5.0,51900,79.0,51.2,2656729.0,458055.0,2198693.0,119.97,2.27
1803,4,3,4,1928,9.0,48006,95.0,49.2,2363705.0,1241428.0,1122328.0,68.26,1.31
1806,5,17,5,1973,2.0,21315,34.0,136.5,2788860.0,816946.0,1971948.0,110.43,5.02
1808,1,1,4,1980,11.0,53290,87.0,30.9,1645241.0,1645309.0,0.0,11.47,0.08
1809,2,6,6,1991,4.0,32040,72.0,26.3,841891.0,841925.0,0.0,5.87,0.07
1810,2,6,7,1985,4.0,22716,35.0,33.5,760071.0,760102.0,0.0,5.3,0.09
1811,2,6,7,1967,4.0,43477,65.0,50.7,1688745.0,1073339.0,615450.0,40.17,0.82
1812,3,8,7,1930,5.0,31040,93.0,25.3,654446.0,650774.0,3699.0,4.73,0.06
1813,2,6,7,1982,4.0,109864,90.0,23.8,2091869.0,2091956.0,0.0,14.58,0.05
1815,2,6,7,1975,4.0,24084,59.0,43.8,1055624.0,591169.0,464480.0,28.79,1.09
1816,2,6,7,1915,4.0,24280,68.0,33.5,814123.0,435013.0,379128.0,23.17,0.88
1817,2,6,7,1958,4.0,36732,81.0,24.7,907617.0,907655.0,0.0,6.33,0.07
1818,2,6,7,1929,4.0,41137,81.0,42.2,1758580.0,318578.0,1440015.0,78.7,1.88
1819,2,6,7,1913,3.0,21234,88.0,36.1,767213.0,336551.0,430675.0,25.22,1.12
1820,3,8,7,1962,5.0,29454,76.0,27.2,697824.0,697853.0,0.0,4.86,0.06
1821,2,6,7,1962,4.0,25596,88.0,23.2,592805.0,592830.0,0.0,4.13,0.06
1822,2,6,7,1948,3.0,23120,87.0,46.1,1066894.0,173297.0,893604.0,48.67,2.07
1823,3,8,7,1958,6.0,39212,35.0,33.7,1320334.0,1320389.0,0.0,9.2,0.09
1824,2,6,7,1960,4.0,22093,89.0,21.1,467034.0,467053.0,0.0,3.26,0.06
1825,2,6,7,1906,2.0,22113,78.0,33.6,742630.0,742661.0,0.0,5.18,0.09
1826,4,17,7,1984,4.0,57110,71.0,56.8,2103293.0,1890368.0,213004.0,24.49,0.29
1827,2,6,7,1914,4.0,40370,53.0,24.2,978463.0,978504.0,0.0,6.82,0.06
1828,2,6,7,1924,4.0,51150,70.0,68.1,3292049.0,566698.0,2725375.0,148.7,2.86
1829,3,8,7,1950,8.0,129860,98.0,63.9,5326222.0,1269863.0,4056411.0,224.29,1.69
1830,2,6,5,1968,4.0,35796,32.0,34.2,1222509.0,1222560.0,0.0,8.52,0.09
1831,2,6,8,1975,3.0,72671,33.0,34.5,2025532.0,1984657.0,40957.0,16.01,0.1
