,BuildingType,PrimaryPropertyType,Neighborhood,YearBuilt,NumberofFloors,PropertyGFATotal,ENERGYSTARScore,SiteEUI(kBtu/sf),SiteEnergyUse(kBtu),Electricity(kBtu),NaturalGas(kBtu),GHGEmissions(MetricTonsCO2e),GHGEmissionsIntensity(kgCO2e/ft2)
1158,4,14,3,1919,2.0,25920,90.0,28.0,1090545.0,955384.0,135201.0,13.84,0.38
1160,3,8,3,2007,6.0,96980,1.0,96.6,6424029.0,2593648.0,3830489.0,221.52,2.17
1161,4,17,3,1919,2.0,25920,84.0,60.6,1453543.0,921449.0,532132.0,34.69,1.19
1162,3,8,3,1915,5.0,32460,89.0,65.3,2120807.0,466859.0,1653967.0,91.1,2.74
1163,1,1,4,1922,10.0,90920,80.0,64.7,6468083.0,1618769.0,4849380.0,268.84,2.88
1168,3,8,4,1925,5.0,52620,50.0,79.3,3647194.0,1167385.0,2479857.0,139.84,2.56
1171,2,6,6,1907,4.0,36660,99.0,24.2,887403.0,491568.0,395855.0,24.45,0.61
1172,4,17,6,2001,5.0,33740,68.0,56.9,1404467.0,1404525.0,0.0,9.79,0.11
1173,4,14,6,1911,2.0,20516,99.0,52.1,946147.0,269337.0,676821.0,37.82,1.79
1174,4,14,6,1906,3.0,27480,86.0,41.1,1270139.0,1270192.0,0.0,8.85,0.12
1175,3,8,6,2002,6.0,225145,86.0,32.8,3927665.0,3927829.0,0.0,27.38,0.05
1176,4,9,6,1947,1.0,46958,92.0,42.1,1977005.0,1596097.0,380974.0,31.36,0.52
1177,4,0,6,1984,1.0,26532,4.0,66.4,1761048.0,872987.0,888097.0,53.25,1.87
1180,4,17,6,1986,2.0,35600,64.0,49.3,1815350.0,1750725.0,64698.0,15.64,0.23
1181,2,6,7,2004,4.0,22625,94.0,41.1,929752.0,476732.0,453040.0,27.38,1.12
1182,4,19,7,1949,3.0,62000,83.0,27.3,1698779.0,295963.0,1402829.0,76.57,1.21
1183,4,17,7,1981,2.0,23600,86.0,30.3,714898.0,714928.0,0.0,4.98,0.08
1185,4,17,7,1986,3.0,40067,29.0,67.5,2704889.0,2705002.0,0.0,18.86,0.18
1186,4,17,7,1989,3.0,26419,74.0,37.1,980356.0,980396.0,0.0,6.83,0.1
1187,4,17,7,1979,3.0,25262,76.0,42.3,1069292.0,936787.0,132544.0,13.57,0.38
1189,4,17,7,1980,3.0,34106,35.0,63.4,2074152.0,2074238.0,0.0,14.46,0.16
1190,4,17,7,1980,3.0,67248,8.0,94.1,3250570.0,3250704.0,0.0,22.66,0.13
1191,4,17,7,1980,3.0,70296,86.0,40.3,2834401.0,2834518.0,0.0,19.76,0.11
1193,2,6,7,1988,4.0,185403,79.0,30.9,4028943.0,4029108.0,0.0,28.09,0.06
1194,3,8,7,1995,6.0,131732,82.0,30.1,3961673.0,3882673.0,79161.0,31.27,0.11
1195,2,6,10,1970,3.0,57247,28.0,46.5,2663520.0,1821265.0,842331.0,57.43,0.87
1197,2,6,10,1976,3.0,30940,96.0,17.5,542749.0,542772.0,0.0,3.78,0.05
1199,3,8,10,2007,6.0,186870,92.0,40.6,6579348.0,3492685.0,3086807.0,188.29,0.93
1201,4,17,10,1951,2.0,39815,70.0,39.1,1554939.0,1482658.0,560886.0,40.12,0.85
1205,4,10,10,1972,1.0,48112,69.0,33.4,1607726.0,1607793.0,0.0,11.21,0.09
1206,4,11,10,2009,1.0,20909,50.0,55.2,1051036.0,627589.0,423473.0,26.87,1.16
1207,4,17,10,2001,2.0,42793,37.0,61.4,1612797.0,1612864.0,0.0,11.24,0.1
1208,3,8,10,1964,7.0,240192,36.0,81.0,13349651.0,4431065.0,8918770.0,504.57,2.02
1209,2,6,10,1989,4.0,52122,77.0,24.0,1437220.0,1437279.0,0.0,10.02,0.07
1211,2,6,10,1983,3.0,59301,52.0,31.4,1863784.0,1863862.0,0.0,12.99,0.08
1212,4,14,10,1998,1.0,26115,42.0,61.5,1605522.0,1193753.0,411819.0,30.19,0.96
1213,4,14,10,2001,1.0,23696,81.0,58.4,1392153.0,841501.0,550686.0,35.11,1.33
1214,3,8,10,2006,7.0,262316,96.0,36.4,7797820.0,5264546.0,2533494.0,171.25,0.57
1215,4,19,9,1949,1.0,26033,88.0,34.0,1022112.0,301833.0,720291.0,40.36,1.5
1217,4,4,7,2007,4.0,48660,80.0,38.2,1889990.0,839579.0,1050446.0,61.64,1.19
1218,4,16,7,1970,2.0,46539,79.0,108.0,5024837.0,2290380.0,2734552.0,161.2,3.25
1219,2,6,3,1910,3.0,35520,95.0,53.7,1878961.0,308899.0,1570074.0,85.54,2.37
